Fiscal Year ,BMP Name,Sending County Code,Sending County ,Receiving County Code,Receiving County,Extent,Unit,Animal Primary Type,Animal subtype,Receiving State,Receiving Location
2005,Manure Transport,24045,WICOMICO,,,101.61,Tons,POULTRY,BROILERS,,Alternative Use
2005,Manure Transport,24045,WICOMICO,,,382.65,Tons,POULTRY,BROILERS,,Alternative Use
2005,Manure Transport,24011,CAROLINE,,,618.39,Tons,POULTRY,BROILERS,,Alternative Use
2005,Manure Transport,24045,WICOMICO,,,159.49,Tons,POULTRY,BROILERS,,Alternative Use
2005,Manure Transport,24045,WICOMICO,,,631.5,Tons,POULTRY,BROILERS,,Alternative Use
2005,Manure Transport,24045,WICOMICO,,,991.34,Tons,POULTRY,BROILERS,,Alternative Use
2005,Manure Transport,24039,SOMERSET,,,383.31,Tons,POULTRY,BROILERS,,Alternative Use
2005,Manure Transport,24039,SOMERSET,,,480.2,Tons,POULTRY,BROILERS,,Alternative Use
2005,Manure Transport,24045,WICOMICO,,,706.53,Tons,POULTRY,BROILERS,,Alternative Use
2005,Manure Transport,24045,WICOMICO,,,708.49,Tons,POULTRY,BROILERS,,Alternative Use
2005,Manure Transport,24045,WICOMICO,,,573.72,Tons,POULTRY,BROILERS,,Alternative Use
2005,Manure Transport,24045,WICOMICO,,,214.27,Tons,POULTRY,BROILERS,,Alternative Use
2005,Manure Transport,24045,WICOMICO,,,291.29,Tons,POULTRY,BROILERS,,Alternative Use
2005,Manure Transport,24045,WICOMICO,,,502.11,Tons,POULTRY,BROILERS,,Alternative Use
2005,Manure Transport,24011,CAROLINE,,,696.13,Tons,POULTRY,BROILERS,,Alternative Use
2005,Manure Transport,24039,SOMERSET,,,764.56,Tons,POULTRY,BROILERS,,Alternative Use
2005,Manure Transport,24045,WICOMICO,,,618.52,Tons,POULTRY,BROILERS,,Alternative Use
2005,Manure Transport,24047,WORCESTER,,,365.66,Tons,POULTRY,BROILERS,,Alternative Use
2006,Manure Transport,24045,WICOMICO,,,137.7,Tons,POULTRY,BROILERS,,Alternative Use
2006,Manure Transport,24039,SOMERSET,,,733.67,Tons,POULTRY,BROILERS,,Alternative Use
2006,Manure Transport,24011,CAROLINE,,,703.19,Tons,POULTRY,BROILERS,,Alternative Use
2006,Manure Transport,24019,DORCHESTER,,,400.38,Tons,POULTRY,BROILERS,,Alternative Use
2006,Manure Transport,24039,SOMERSET,,,1233.18,Tons,POULTRY,BROILERS,,Alternative Use
2006,Manure Transport,24039,SOMERSET,,,573.96,Tons,POULTRY,BROILERS,,Alternative Use
2006,Manure Transport,24039,SOMERSET,,,368.28,Tons,POULTRY,BROILERS,,Alternative Use
2006,Manure Transport,24045,WICOMICO,,,686.27,Tons,POULTRY,BROILERS,,Alternative Use
2006,Manure Transport,24045,WICOMICO,,,500.92,Tons,POULTRY,BROILERS,,Alternative Use
2006,Manure Transport,24045,WICOMICO,,,457.67,Tons,POULTRY,BROILERS,,Alternative Use
2006,Manure Transport,24045,WICOMICO,,,656.09,Tons,POULTRY,BROILERS,,Alternative Use
2006,Manure Transport,24047,WORCESTER,,,159.88,Tons,POULTRY,BROILERS,,Alternative Use
2006,Manure Transport,24047,WORCESTER,,,348.03,Tons,POULTRY,BROILERS,,Alternative Use
2006,Manure Transport,24047,WORCESTER,,,682.5,Tons,POULTRY,BROILERS,,Alternative Use
2006,Manure Transport,24039,SOMERSET,,,224.82,Tons,POULTRY,BROILERS,,Alternative Use
2006,Manure Transport,24045,WICOMICO,,,296.17,Tons,POULTRY,BROILERS,,Alternative Use
2006,Manure Transport,24019,DORCHESTER,,,270.51,Tons,POULTRY,BROILERS,,Alternative Use
2006,Manure Transport,24039,SOMERSET,,,119.55,Tons,POULTRY,BROILERS,,Alternative Use
2006,Manure Transport,24019,DORCHESTER,,,206.04,Tons,POULTRY,BROILERS,,Alternative Use
2006,Manure Transport,24047,WORCESTER,,,652.48,Tons,POULTRY,BROILERS,,Alternative Use
2006,Manure Transport,24021,FREDERICK,,,165,Tons,CATTLE,DAIRY,,Alternative Use
